/*LISTA GERAL CLASSIFICADO POR NOTA*/
450  Administracao – bacharel
INSC	V_LIN	V_MAT	V_NAT	V_HUM	RED	COTA	NOTA FINAL	CLASSIFICAÇÃO
555465	574.04	666.19	740.59	664.14	750 	AC	573.22	61
591997	672.65	547.48	624.60	739.73	750 	AC	572.66	62
583810	721.95	626.62	740.59	701.94	600 	AC	572.36	63
544935	672.65	547.48	663.26	664.14	800 	AC	571.27	64
545485	475.44	626.62	740.59	777.52	750 	AC	567.71	65
576641	672.65	626.62	624.60	626.35	750 	AC	565.05	66
584608	672.65	666.19	663.26	664.14	650 	AC	564.32	67
580743	721.95	587.05	663.26	739.73	600 	AC	563.38	68
559343	574.04	507.92	740.59	777.52	750 	AC	563.24	69
568589	672.65	666.19	740.59	664.14	600 	AC	561.80	70
561570	721.95	547.48	779.25	664.14	650 	AC	561.78	71
581075	820.55	784.90	547.28	588.56	500 	AC	560.55	72
564489	623.35	626.62	701.92	664.14	700 	AC	559.98	73
572461	623.35	507.92	663.26	701.94	800 	AC	559.92	74
564333	574.04	547.48	856.57	664.14	750 	AC	559.73	75
551385	524.74	547.48	624.60	626.35	950 	AC	559.04	76
574074	672.65	547.48	624.60	626.35	800 	AC	558.58	77
550406	771.25	705.76	701.92	626.35	500 	AC	557.59	78
560405	524.74	705.76	740.59	701.94	650 	AC	557.24	79
543468	721.95	626.62	779.25	664.14	550 	AC	557.15	80
546293	672.65	587.05	585.94	739.73	650 	AC	554.94	81
547626	623.35	587.05	663.26	588.56	800 	AC	552.31	82
578593	623.35	587.05	663.26	588.56	800 	AC	552.31	83
545243	623.35	666.19	740.59	664.14	600 	AC	550.84	84
588479	672.65	587.05	663.26	626.35	700 	AC	549.45	85
544826	721.95	626.62	624.60	701.94	550 	AC	548.36	86
543523	574.04	547.48	701.92	739.73	700 	AC	548.23	87
587732	574.04	587.05	817.91	437.38	900 	AC	547.17	88
584484	574.04	666.19	740.59	588.56	700 	AC	545.31	89
572836	623.35	587.05	740.59	664.14	650 	AC	544.37	90
545328	376.84	666.19	624.60	626.35	900 	AC	541.45	91
583149	623.35	626.62	663.26	588.56	700 	AC	538.88	92
559914	672.65	626.62	585.94	626.35	650 	AC	538.54	93
552289	672.65	587.05	701.92	550.76	700 	AC	536.94	94
550688	623.35	547.48	663.26	701.94	650 	AC	535.38	95
543557	574.04	626.62	663.26	664.14	650 	AC	533.61	96
590141	574.04	705.76	701.92	512.97	700 	AC	533.01	97
547688	524.74	547.48	624.60	701.94	750 	AC	531.40	98
549844	524.74	547.48	508.61	550.76	950 	AC	529.36	99
550308	623.35	547.48	469.95	664.14	750 	AC	527.73	100
548980	672.65	507.92	624.60	626.35	700 	AC	527.56	101
544690	623.35	587.05	547.28	626.35	700 	AC	525.60	102
583861	574.04	626.62	740.59	588.56	650 	AC	525.41	103
544119	820.55	587.05	701.92	550.76	500 	AC	525.37	104
550373	574.04	468.35	701.92	701.94	700 	AC	522.25	105
556178	672.65	587.05	585.94	588.56	650 	AC	521.34	106
562269	574.04	626.62	663.26	701.94	550 	AC	519.79	107
554996	771.25	547.48	701.92	664.14	450 	AC	519.70	108
556375	623.35	587.05	508.61	512.97	800 	AC	518.33	109
558987	524.74	626.62	624.60	512.97	800 	AC	518.10	110
545068	721.95	666.19	663.26	550.76	500 	AC	516.75	111
560496	623.35	547.48	740.59	626.35	600 	AC	516.07	112
574465	574.04	587.05	585.94	512.97	800 	AC	515.97	113
566047	623.35	587.05	585.94	512.97	750 	AC	515.81	114
559846	623.35	547.48	585.94	550.76	750 	AC	515.42	115
558425	574.04	547.48	701.92	739.73	550 	AC	514.90	116
590859	574.04	587.05	663.26	664.14	600 	AC	513.71	117
565216	574.04	587.05	585.94	701.94	600 	AC	513.52	118
590998	574.04	587.05	585.94	550.76	750 	AC	513.26	119
562842	524.74	626.62	701.92	701.94	550 	AC	513.13	120
585844	574.04	587.05	740.59	664.14	550 	AC	511.19	121
577018	574.04	587.05	585.94	626.35	650 	AC	507.83	122
546629	574.04	626.62	701.92	626.35	550 	AC	507.29	123
543708	771.25	507.92	508.61	588.56	600 	AC	505.97	124
555434	524.74	626.62	663.26	588.56	650 	AC	505.86	125
573276	672.65	666.19	585.94	588.56	500 	AC	505.60	126
553032	623.35	587.05	663.26	626.35	550 	AC	505.16	127
574546	574.04	587.05	585.94	512.97	750 	AC	504.86	128
548426	623.35	626.62	624.60	701.94	450 	AC	504.23	129
581238	623.35	507.92	585.94	588.56	700 	AC	503.91	130
546207	672.65	468.35	663.26	739.73	500 	AC	503.82	131
550680	623.35	666.19	508.61	664.14	500 	AC	502.85	132
543480	524.74	587.05	663.26	664.14	600 	AC	502.75	133
548127	623.35	547.48	740.59	664.14	500 	AC	502.24	134
552728	721.95	587.05	585.94	550.76	550 	AC	501.68	135
578510	623.35	587.05	547.28	664.14	550 	AC	500.67	136
561390	574.04	507.92	585.94	664.14	650 	AC	498.64	137
553353	524.74	626.62	547.28	512.97	750 	AC	498.40	138
555625	574.04	666.19	585.94	550.76	600 	AC	497.51	139
591525	623.35	666.19	624.60	475.18	600 	AC	495.96	140
552140	524.74	547.48	547.28	626.35	700 	AC	494.90	141
588138	524.74	507.92	508.61	626.35	750 	AC	492.92	142
543482	672.65	626.62	624.60	550.76	500 	AC	492.70	143
565083	672.65	507.92	585.94	626.35	550 	AC	489.93	144
563380	524.74	547.48	663.26	777.52	450 	AC	485.82	145
544706	574.04	587.05	701.92	512.97	600 	AC	484.41	146
592700	574.04	666.19	585.94	588.56	500 	AC	483.69	147
583907	623.35	587.05	547.28	626.35	500 	AC	481.16	148
579284	475.44	587.05	624.60	626.35	600 	AC	479.10	149
572373	623.35	468.35	663.26	664.14	500 	AC	476.06	150
563446	672.65	468.35	663.26	664.14	450 	AC	475.91	151
584013	524.74	547.48	624.60	701.94	500 	AC	475.84	152
565688	574.04	587.05	624.60	550.76	550 	AC	473.11	153
559025	524.74	547.48	624.60	626.35	550 	AC	470.16	154
566416	524.74	547.48	624.60	626.35	550 	AC	470.16	155
544273	524.74	626.62	547.28	626.35	500 	AC	468.04	156
590117	574.04	547.48	585.94	626.35	500 	AC	465.70	157
554004	623.35	587.05	624.60	512.97	500 	AC	464.55	158
556630	475.44	468.35	701.92	588.56	650 	AC	464.03	159
573703	574.04	547.48	431.29	588.56	600 	AC	462.35	160
552203	475.44	587.05	585.94	664.14	500 	AC	460.98	161
590341	524.74	468.35	624.60	664.14	550 	AC	460.97	162
561196	524.74	468.35	547.28	550.76	700 	AC	460.51	163
560024	524.74	468.35	701.92	512.97	650 	AC	458.19	164
588102	574.04	547.48	740.59	512.97	500 	AC	457.69	165
584505	623.35	547.48	508.61	475.18	600 	AC	456.70	166
590610	524.74	547.48	585.94	626.35	500 	AC	454.75	167
545916	376.84	507.92	624.60	588.56	700 	AC	453.43	168
567060	623.35	468.35	585.94	550.76	550 	AC	453.39	169
582020	623.35	468.35	585.94	588.56	500 	AC	450.68	170
559561	574.04	587.05	431.29	588.56	500 	AC	448.92	171
551788	623.35	468.35	585.94	475.18	600 	AC	447.70	172
575905	574.04	547.48	469.95	550.76	550 	AC	447.13	173
548929	623.35	507.92	469.95	588.56	500 	AC	446.58	174
572631	672.65	547.48	547.28	550.76	400 	AC	444.30	175
555468	623.35	507.92	624.60	550.76	450 	AC	444.26	176
592446	524.74	587.05	508.61	664.14	400 	AC	441.13	177
559699	475.44	587.05	547.28	588.56	500 	AC	439.89	178
588998	524.74	587.05	585.94	512.97	500 	AC	438.35	179
551974	574.04	705.76	547.28	588.56	250 	AC	432.63	180
546044	524.74	587.05	663.26	588.56	350 	AC	430.40	181
545771	524.74	547.48	508.61	550.76	500 	AC	429.36	182
546853	623.35	547.48	547.28	475.18	450 	AC	427.66	183
544051	574.04	507.92	547.28	512.97	500 	AC	427.42	184
554001	721.95	547.48	624.60	475.18	300 	AC	424.83	185
587677	524.74	507.92	624.60	475.18	500 	AC	416.66	186
573951	574.04	507.92	585.94	664.14	250 	AC	409.75	187
578501	524.74	507.92	469.95	512.97	500 	AC	407.87	188
554426	574.04	587.05	585.94	475.18	350 	AC	407.57	189
589614	524.74	507.92	624.60	475.18	450 	AC	405.55	190
565579	672.65	547.48	585.94	475.18	250 	AC	398.47	191
552941	475.44	507.92	585.94	475.18	400 	AC	379.18	192
572004	376.84	468.35	547.28	550.76	350 	AC	349.87	193
588930	672.65	587.05	701.92	739.73	550 	L1	545.60	1
580114	771.25	587.05	508.61	626.35	650 	L1	543.06	2
589487	672.65	587.05	547.28	550.76	750 	L1	530.87	3
562666	672.65	468.35	701.92	739.73	600 	L1	530.34	4
564893	672.65	666.19	585.94	664.14	500 	L1	522.39	5
559527	574.04	507.92	624.60	626.35	750 	L1	516.76	6
559884	574.04	507.92	663.26	626.35	700 	L1	509.95	7
590835	771.25	468.35	585.94	701.94	500 	L1	508.74	8
551534	574.04	626.62	701.92	626.35	500 	L1	496.18	9
588485	574.04	468.35	585.94	626.35	700 	L1	492.56	10
588125	574.04	507.92	701.92	588.56	600 	L1	483.62	11
546670	574.04	428.78	740.59	626.35	600 	L1	478.73	12
588635	574.04	468.35	547.28	475.18	750 	L1	465.78	13
582407	475.44	547.48	624.60	626.35	500 	L1	448.09	14
592432	672.65	468.35	585.94	550.76	450 	L1	442.12	15
558485	475.44	428.78	469.95	512.97	700 	L1	423.77	16
575189	623.35	507.92	663.26	512.97	350 	L1	417.93	17
588132	524.74	507.92	701.92	437.38	450 	L1	405.74	18
567104	376.84	587.05	585.94	475.18	450 	L1	385.97	19
550018	623.35	587.05	624.60	626.35	500 	L3	489.75	1
559847	623.35	587.05	624.60	512.97	600 	L3	486.78	2
552166	623.35	587.05	624.60	512.97	550 	L3	475.67	3
547427	524.74	507.92	663.26	626.35	550 	L3	465.66	4
573038	623.35	587.05	353.97	626.35	500 	L3	459.68	5
578120	475.44	547.48	585.94	475.18	350 	L3	376.87	6
589528	623.35	705.76	779.25	739.73	950 	L5	658.51	1
557412	574.04	626.62	779.25	701.94	950 	L5	621.57	2
579462	672.65	666.19	624.60	739.73	800 	L5	610.15	3
588882	721.95	666.19	701.92	588.56	750 	L5	585.00	4
543736	672.65	587.05	585.94	777.52	700 	L5	574.45	5
555148	672.65	547.48	701.92	588.56	800 	L5	558.77	6
571096	623.35	468.35	624.60	588.56	950 	L5	554.97	7
545592	623.35	547.48	663.26	701.94	700 	L5	546.49	8
566174	623.35	587.05	701.92	588.56	750 	L5	545.50	9
558108	623.35	587.05	508.61	626.35	800 	L5	543.53	10
577458	524.74	666.19	740.59	777.52	550 	L5	543.02	11
571574	672.65	666.19	508.61	550.76	700 	L5	533.05	12
583165	623.35	587.05	740.59	626.35	600 	L5	524.86	13
569126	574.04	666.19	585.94	664.14	600 	L5	522.71	14
568209	524.74	626.62	624.60	550.76	700 	L5	504.28	15
589081	623.35	587.05	469.95	739.73	500 	L5	497.76	16
589421	623.35	587.05	624.60	701.94	450 	L5	495.44	17
555873	574.04	587.05	547.28	588.56	650 	L5	495.14	18
555463	475.44	587.05	740.59	588.56	650 	L5	494.70	19
558221	574.04	547.48	740.59	626.35	550 	L5	494.00	20
569387	574.04	587.05	663.26	664.14	500 	L5	491.49	21
575339	524.74	587.05	624.60	626.35	550 	L5	478.95	22
581180	623.35	587.05	547.28	664.14	450 	L5	478.45	23
553671	574.04	547.48	547.28	701.94	500 	L5	478.21	24
575586	524.74	587.05	624.60	588.56	550 	L5	470.55	25
578940	623.35	507.92	663.26	550.76	500 	L5	459.66	26
589148	623.35	626.62	469.95	588.56	400 	L5	450.74	27
543949	574.04	547.48	469.95	588.56	500 	L5	444.42	28
546781	623.35	507.92	547.28	512.97	500 	L5	438.38	29
565908	574.04	547.48	431.29	588.56	400 	L5	417.90	30
578513	524.74	547.48	431.29	475.18	500 	L5	403.97	31
545216	574.04	468.35	624.60	475.18	350 	L5	385.49	32
577260	574.04	507.92	469.95	437.38	300 	L5	357.59	33
549368	524.74	468.35	547.28	475.18	250 	L5	343.72	34
579788	721.95	626.62	663.26	664.14	750 	L7	588.70	1
571597	623.35	507.92	779.25	664.14	850 	L7	575.52	2
545761	524.74	626.62	624.60	626.35	650 	L7	509.96	3
571882	574.04	626.62	547.28	550.76	700 	L7	506.64	4
546082	623.35	626.62	585.94	626.35	550 	L7	505.36	5
587724	672.65	547.48	547.28	701.94	500 	L7	500.12	6
546179	672.65	468.35	663.26	664.14	550 	L7	498.13	7
565582	524.74	507.92	585.94	588.56	500 	L7	437.56	8
589269	524.74	547.48	547.28	550.76	500 	L7	433.66	9
554730	574.04	547.48	585.94	512.97	400 	L7	418.29	10
546119	574.04	547.48	585.94	399.59	350 	L7	381.98	11
556756	574.04	705.76	624.60	664.14	750 	L8	569.13	1
581887	672.65	745.33	663.26	701.94	700 	L15	601.42	1

2904  Artes visuais – bacharel
INSC	V_LIN	V_MAT	V_NAT	V_HUM	RED	COTA	NOTA FINAL	CLASSIFICAÇÃO
560895	721.95	784.90	817.91	777.52	850 	AC	691.85	1
584607	672.65	864.04	817.91	853.11	700 	AC	665.30	2
571619	623.35	705.76	817.91	739.73	900 	AC	661.09	3
556081	869.86	626.62	740.59	739.73	700 	AC	659.55	4
552570	574.04	705.76	740.59	777.52	800 	AC	623.65	5
571230	623.35	587.05	779.25	626.35	900 	AC	615.86	6
550973	721.95	626.62	779.25	701.94	700 	AC	612.42	7
554834	672.65	547.48	817.91	664.14	750 	AC	598.62	8
544186	672.65	666.19	701.92	701.94	700 	AC	595.54	9
579475	623.35	547.48	585.94	739.73	750 	AC	584.70	10
581752	771.25	547.48	663.26	701.94	600 	AC	580.85	11
549419	574.04	507.92	663.26	550.76	950 	AC	577.70	12
557178	574.04	745.33	740.59	739.73	650 	AC	576.03	13
591765	672.65	587.05	740.59	664.14	650 	AC	567.92	14
583672	574.04	587.05	663.26	701.94	700 	AC	557.94	15
552632	574.04	507.92	740.59	739.73	650 	AC	554.45	16
551938	721.95	587.05	663.26	701.94	500 	AC	543.73	17
547594	376.84	468.35	740.59	739.73	800 	AC	537.97	18
591751	672.65	547.48	585.94	588.56	650 	AC	529.65	19
546773	475.44	666.19	701.92	626.35	700 	AC	521.14	20
578084	574.04	547.48	624.60	664.14	600 	AC	513.25	21
564014	524.74	547.48	740.59	664.14	600 	AC	510.35	22
557642	524.74	507.92	585.94	626.35	700 	AC	509.66	23
584673	574.04	547.48	663.26	626.35	600 	AC	506.45	24
564991	574.04	547.48	469.95	588.56	700 	AC	505.85	25
545553	475.44	666.19	663.26	626.35	650 	AC	503.99	26
558193	524.74	666.19	701.92	512.97	700 	AC	503.67	27
591407	574.04	547.48	701.92	701.94	500 	AC	503.31	28
551870	672.65	547.48	740.59	588.56	500 	AC	502.80	29
574489	524.74	547.48	740.59	626.35	600 	AC	500.04	30
553740	475.44	428.78	585.94	664.14	700 	AC	499.32	31
589391	524.74	587.05	701.92	664.14	550 	AC	496.79	32
570465	672.65	666.19	585.94	512.97	550 	AC	492.55	33
582200	574.04	547.48	547.28	512.97	700 	AC	492.26	34
583935	524.74	666.19	431.29	550.76	700 	AC	489.37	35
553086	672.65	547.48	585.94	588.56	500 	AC	488.74	36
584601	574.04	507.92	547.28	550.76	650 	AC	485.34	37
547793	623.35	587.05	547.28	475.18	600 	AC	471.72	38
557860	574.04	547.48	508.61	475.18	650 	AC	464.80	39
571244	524.74	626.62	585.94	550.76	550 	AC	458.92	40
564890	524.74	626.62	663.26	701.94	350 	AC	452.64	41
586217	574.04	547.48	740.59	550.76	450 	AC	451.96	42
546193	475.44	587.05	547.28	588.56	550 	AC	448.67	43
580240	475.44	507.92	701.92	512.97	600 	AC	448.56	44
560426	475.44	587.05	508.61	739.73	350 	AC	431.84	45
558824	376.84	547.48	740.59	437.38	650 	AC	421.80	46
557835	574.04	507.92	547.28	512.97	450 	AC	420.48	47
581713	475.44	587.05	624.60	437.38	550 	AC	414.47	48
565316	574.04	468.35	779.25	626.35	250 	AC	414.35	49
581136	623.35	428.78	624.60	588.56	300 	AC	413.47	50
591760	623.35	507.92	701.92	626.35	650 	L1	533.45	1
564076	574.04	547.48	779.25	664.14	600 	L1	527.31	2
590224	623.35	507.92	663.26	626.35	400 	L1	461.76	3
553277	574.04	587.05	663.26	739.73	700 	L5	568.25	1
546810	574.04	745.33	701.92	664.14	550 	L5	524.63	2
548240	524.74	626.62	624.60	626.35	600 	L5	496.69	3
591868	475.44	666.19	740.59	588.56	550 	L5	473.44	4
554415	574.04	507.92	740.59	512.97	500 	L5	451.69	5
557114	623.35	547.48	663.26	550.76	900 	L7	581.10	1
551478	376.84	468.35	585.94	664.14	700 	L7	476.03	2
590996	574.04	547.48	624.60	550.76	800 	L13	536.87	1
576982	721.95	547.48	431.29	512.97	500 	L13	467.51	2

2901  Artes visuais – licenciatura
INSC	V_LIN	V_MAT	V_NAT	V_HUM	RED	COTA	NOTA FINAL	CLASSIFICAÇÃO
548556	820.55	626.62	779.25	739.73	950 	AC	732.99	1
581388	672.65	547.48	779.25	626.35	950 	AC	666.13	2
588581	672.65	626.62	701.92	701.94	800 	AC	633.13	3
556309	574.04	626.62	779.25	739.73	700 	AC	594.87	4
547202	524.74	587.05	701.92	739.73	750 	AC	587.60	5
559455	623.35	626.62	585.94	550.76	800 	AC	575.69	6
544484	574.04	547.48	663.26	664.14	750 	AC	573.06	7
546185	721.95	587.05	701.92	626.35	600 	AC	556.22	8
544266	475.44	547.48	701.92	701.94	700 	AC	547.18	9
547064	672.65	547.48	663.26	626.35	600 	AC	536.58	10
563608	574.04	547.48	624.60	588.56	650 	AC	518.64	11
580774	524.74	547.48	701.92	664.14	600 	AC	516.40	12
575460	574.04	547.48	585.94	701.94	550 	AC	506.20	13
556093	524.74	666.19	663.26	550.76	500 	AC	466.77	14
583914	623.35	626.62	701.92	512.97	450 	AC	463.51	15
589256	524.74	587.05	585.94	664.14	450 	AC	457.91	16
574894	574.04	547.48	624.60	664.14	350 	AC	435.43	17
582099	623.35	587.05	663.26	475.18	400 	AC	429.76	18
590251	574.04	468.35	547.28	512.97	450 	AC	417.79	19
587047	524.74	587.05	469.95	550.76	700 	L1	503.16	1
545476	524.74	587.05	547.28	588.56	500 	L1	453.49	2
554114	524.74	626.62	624.60	550.76	350 	L1	408.08	3
591783	672.65	428.78	431.29	626.35	350 	L3	414.28	1
554750	623.35	468.35	585.94	777.52	650 	L5	558.50	1
566630	771.25	547.48	663.26	664.14	400 	L5	500.22	2
544289	475.44	547.48	508.61	588.56	350 	L5	383.84	3
555292	623.35	626.62	701.92	664.14	600 	L7	547.11	1
583068	623.35	468.35	701.92	664.14	600 	L7	529.52	2
565761	524.74	507.92	508.61	512.97	250 	L13	340.27	1

2911  Audiovisual – bacharel
INSC	V_LIN	V_MAT	V_NAT	V_HUM	RED	COTA	NOTA FINAL	CLASSIFICAÇÃO
581563	672.65	745.33	740.59	626.35	950 	AC	694.45	1
590543	771.25	666.19	701.92	664.14	900 	AC	680.89	2
550467	721.95	547.48	817.91	701.94	900 	AC	678.51	3
552661	721.95	824.47	585.94	739.73	850 	AC	675.65	4
543604	574.04	666.19	856.57	701.94	800 	AC	646.76	5
570494	475.44	547.48	856.57	701.94	900 	AC	643.87	6
571907	623.35	587.05	740.59	701.94	850 	AC	639.12	7
561212	574.04	428.78	740.59	701.94	950 	AC	637.86	8
587007	623.35	547.48	740.59	626.35	900 	AC	636.60	9
565249	623.35	626.62	740.59	626.35	850 	AC	633.12	10
559173	672.65	626.62	663.26	550.76	900 	AC	632.52	11
572753	524.74	547.48	701.92	815.32	850 	AC	628.55	12
544745	524.74	547.48	779.25	626.35	900 	AC	626.61	13
545038	475.44	587.05	779.25	588.56	900 	AC	618.68	14
583632	574.04	626.62	701.92	701.94	800 	AC	614.39	15
586601	574.04	468.35	547.28	701.94	950 	AC	612.23	16
560201	574.04	587.05	663.26	664.14	850 	AC	611.72	17
581430	574.04	507.92	779.25	626.35	850 	AC	611.56	18
584265	672.65	547.48	817.91	815.32	650 	AC	605.86	19
588033	574.04	547.48	663.26	664.14	850 	AC	605.12	20
571885	524.74	626.62	663.26	626.35	850 	AC	603.80	21
556373	672.65	666.19	701.92	588.56	750 	AC	601.85	22
573469	574.04	587.05	547.28	588.56	900 	AC	596.46	23
576518	672.65	587.05	624.60	664.14	750 	AC	588.38	24
589742	771.25	666.19	779.25	739.73	500 	AC	573.04	25
579748	524.74	507.92	585.94	626.35	850 	AC	571.13	26
580647	672.65	547.48	779.25	626.35	650 	AC	567.92	27
555532	574.04	587.05	663.26	588.56	750 	AC	565.79	28
577659	574.04	587.05	701.92	701.94	650 	AC	557.79	29
560983	623.35	547.48	779.25	701.94	600 	AC	555.64	30
577352	475.44	468.35	817.91	550.76	750 	AC	549.04	31
580450	475.44	666.19	817.91	626.35	600 	AC	544.62	32
555501	524.74	587.05	663.26	739.73	600 	AC	532.77	33
556270	475.44	626.62	624.60	588.56	650 	AC	516.17	34
578839	524.74	626.62	663.26	475.18	650 	AC	511.94	35
555301	771.25	547.48	624.60	664.14	450 	AC	498.21	36
590007	574.04	468.35	624.60	626.35	600 	AC	495.86	37
555692	623.35	547.48	624.60	588.56	550 	AC	494.30	38
591864	524.74	468.35	701.92	588.56	600 	AC	494.23	39
571482	574.04	547.48	624.60	626.35	550 	AC	492.38	40
565197	524.74	507.92	585.94	512.97	650 	AC	485.56	41
573369	376.84	468.35	624.60	550.76	700 	AC	483.73	42
567105	475.44	507.92	585.94	550.76	650 	AC	483.64	43
584529	574.04	468.35	585.94	588.56	600 	AC	483.12	44
560213	475.44	507.92	585.94	626.35	600 	AC	479.57	45
583378	672.65	468.35	547.28	550.76	550 	AC	470.14	46
557571	574.04	547.48	701.92	588.56	450 	AC	465.64	47
579439	672.65	547.48	585.94	475.18	350 	AC	410.51	48
583842	524.74	587.05	585.94	739.73	250 	AC	403.21	49
556057	672.65	547.48	624.60	626.35	650 	L1	542.15	1
559082	672.65	587.05	663.26	512.97	650 	L1	536.29	2
558738	574.04	547.48	585.94	588.56	700 	L1	529.64	3
563181	524.74	468.35	547.28	664.14	300 	L1	381.05	4
565185	524.74	705.76	779.25	701.94	450 	L3	515.58	1
552292	524.74	547.48	740.59	777.52	900 	L5	645.36	1
546403	820.55	547.48	740.59	475.18	900 	L5	644.27	2
548698	574.04	705.76	740.59	626.35	850 	L5	638.09	3
552715	574.04	547.48	817.91	664.14	850 	L5	630.90	4
547500	721.95	507.92	585.94	664.14	900 	L5	626.96	5
553804	623.35	587.05	624.60	815.32	700 	L5	588.69	6
583710	721.95	626.62	701.92	475.18	700 	L5	567.91	7
564469	574.04	468.35	817.91	664.14	700 	L5	567.71	8
563307	574.04	507.92	624.60	588.56	800 	L5	562.82	9
557759	524.74	507.92	663.26	588.56	750 	L5	544.38	10
556969	574.04	507.92	624.60	701.94	650 	L5	531.72	11
567772	672.65	507.92	701.92	626.35	500 	L5	498.44	12
590756	623.35	507.92	663.26	550.76	550 	L5	487.85	13
544923	376.84	626.62	663.26	550.76	600 	L5	483.22	14
584749	524.74	428.78	547.28	512.97	550 	L5	432.60	15
558840	721.95	626.62	663.26	626.35	700 	L7	586.67	1
585959	771.25	468.35	547.28	437.38	550 	L7	467.68	2
557662	623.35	547.48	547.28	550.76	450 	L7	441.78	3
585493	721.95	547.48	624.60	664.14	500 	L8	506.66	1
565731	475.44	468.35	547.28	512.97	250 	L13	330.97	1

2701  Ciencia biologicas – bacharel
INSC	V_LIN	V_MAT	V_NAT	V_HUM	RED	COTA	NOTA FINAL	CLASSIFICAÇÃO
544425	672.65	784.90	856.57	777.52	950 	AC	740.57	1
569928	574.04	626.62	779.25	664.14	950 	AC	665.58	2
582902	623.35	705.76	740.59	777.52	850 	AC	660.51	3
587188	672.65	626.62	779.25	664.14	850 	AC	651.10	4
558192	623.35	705.76	779.25	815.32	750 	AC	648.38	5
556926	721.95	666.19	779.25	664.14	750 	AC	635.22	6
574472	524.74	626.62	701.92	588.56	950 	AC	625.65	7
562810	623.35	587.05	779.25	701.94	750 	AC	615.23	8
551464	524.74	745.33	624.60	626.35	900 	AC	611.63	9
545188	721.95	705.76	585.94	739.73	800 	AC	610.73	10
560293	623.35	587.05	740.59	664.14	750 	AC	598.78	11
555505	623.35	666.19	701.92	739.73	700 	AC	595.56	12
555927	574.04	626.62	663.26	588.56	850 	AC	593.07	13
552414	574.04	626.62	701.92	701.94	750 	AC	591.75	14
570825	721.95	626.62	624.60	664.14	750 	AC	585.38	15
546737	574.04	705.76	701.92	550.76	750 	AC	581.46	16
564586	574.04	587.05	740.59	664.14	700 	AC	577.45	17
581524	475.44	626.62	740.59	664.14	700 	AC	569.02	18
549631	623.35	626.62	624.60	588.56	750 	AC	560.50	19
553017	623.35	587.05	624.60	626.35	750 	AC	560.25	20
574865	524.74	626.62	663.26	701.94	700 	AC	559.37	21
558971	574.04	587.05	663.26	588.56	750 	AC	558.85	22
545299	574.04	587.05	585.94	701.94	750 	AC	552.95	23
557415	524.74	626.62	701.92	664.14	600 	AC	536.45	24
547664	524.74	626.62	585.94	588.56	750 	AC	535.37	25
558544	672.65	547.48	624.60	701.94	600 	AC	529.58	26
557836	623.35	666.19	585.94	664.14	600 	AC	523.05	27
579840	574.04	587.05	624.60	626.35	600 	AC	510.35	28
544545	574.04	626.62	701.92	588.56	500 	AC	504.12	29
577034	574.04	666.19	663.26	512.97	550 	AC	502.21	30
559700	574.04	587.05	585.94	588.56	600 	AC	493.90	31
590945	574.04	626.62	701.92	512.97	500 	AC	493.32	32
586727	574.04	587.05	547.28	626.35	600 	AC	488.25	33
555611	475.44	547.48	585.94	550.76	650 	AC	483.05	34
569354	672.65	468.35	624.60	626.35	500 	AC	478.90	35
553428	623.35	587.05	624.60	550.76	500 	AC	478.02	36
549523	672.65	507.92	469.95	664.14	600 	AC	474.34	37
554980	623.35	705.76	508.61	550.76	500 	AC	461.84	38
546721	524.74	547.48	663.26	588.56	450 	AC	460.44	39
559648	672.65	587.05	663.26	588.56	350 	AC	458.65	40
563898	574.04	626.62	624.60	512.97	450 	AC	456.94	41
591006	623.35	587.05	585.94	664.14	400 	AC	454.60	42
546577	475.44	547.48	508.61	475.18	650 	AC	450.16	43
579425	524.74	587.05	547.28	588.56	450 	AC	432.95	44
548238	524.74	468.35	508.61	550.76	500 	AC	413.84	45
546933	524.74	507.92	547.28	512.97	450 	AC	410.85	46
590100	574.04	587.05	469.95	437.38	500 	AC	410.59	47
590658	574.04	587.05	585.94	437.38	300 	AC	386.59	48
585042	574.04	428.78	469.95	475.18	400 	AC	364.81	49
554609	475.44	468.35	431.29	475.18	450 	AC	359.62	50
582786	672.65	705.76	663.26	550.76	750 	L1	584.50	1
561151	623.35	626.62	701.92	664.14	700 	L1	579.10	2
546756	672.65	587.05	663.26	664.14	700 	L1	569.45	3
547538	672.65	587.05	663.26	550.76	650 	L1	538.97	4
558934	623.35	547.48	779.25	701.94	500 	L1	538.15	5
564302	524.74	587.05	585.94	588.56	700 	L1	515.43	6
572182	524.74	468.35	663.26	626.35	600 	L1	497.39	7
577977	574.04	547.48	547.28	626.35	600 	L1	482.60	8
550047	672.65	626.62	624.60	588.56	450 	L1	481.83	9
556892	672.65	626.62	585.94	550.76	500 	L1	479.67	10
587681	574.04	547.48	663.26	512.97	450 	L1	456.68	11
582555	524.74	547.48	624.60	512.97	500 	L1	452.88	12
547587	623.35	468.35	547.28	475.18	500 	L1	428.17	13
553056	475.44	547.48	508.61	512.97	500 	L1	412.70	14
559399	672.65	507.92	469.95	512.97	450 	L1	409.89	15
562628	574.04	468.35	547.28	475.18	400 	L1	392.56	16
557065	623.35	626.62	701.92	588.56	650 	L3	554.02	1
547005	672.65	547.48	585.94	588.56	650 	L3	516.62	2
